,title,author,rating,voters,price,currency,description,publisher,page_count,generes,ISBN,language,published_date
0,Attack on Titan: Volume 13,Hajime Isayama,4.6,428,43.28,SAR,"NO SAFE PLACE LEFT At great cost to the Garrison and the Survey Corps, Commander Erwin has managed to recover Eren from the Titans who tried to carry him off. But during the battle, Eren manifested yet another power he doesn't understand. As Eren and Krista find new enemies, the Survey Corps faces threats from both inside and outside the walls. And what will happen to Ymir, now that she has decided to make herself the Titans' prize?",Kodansha Comics,192,none,9.78161E+12,English,"Jul 31, 2014"
1,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,23,26.15,SAR,"Determined to make a new start in her quaint hometown on the banks of the Mississippi, Brandy Borne never dreams she'll become the prime suspect in a murder case. . . 

Moving back in with her eccentric, larger-than-life mother, Brandy Borne finds small-town Serenity anything but serene. It seems an unscrupulous antiques dealer has swindled Vivian out of the family's heirlooms. But when he is found run over in a country lane, Brandy becomes Murder Suspect Number One--with her mother coming in a very close second. . . 

The list of other suspects is impressive--the victim's business seems to have been based on bilking seniors out of their possessions. And when the Borne ""girls"" uncover a few very unsavory Serenity secrets, they become targets for a murderer whose favorite hobby seems to be collecting victims. 

Don't miss Brandy Borne's tips on antiques! 

""Cozy mystery fans will love this down-to-earth heroine with the wry sense of humor and a big heart."" --Nancy Pickard 

""With its small-town setting and quirky characters, Antiques Roadkill is fun from start to finish. Dive in and enjoy.""--Laurien Berenson",Kensington Publishing Corp.,288,"Fiction , Mystery &amp, Detective , Cozy , General",9.78076E+12,English,"Jul 1, 2007"
2,The Art of Super Mario Odyssey,Nintendo,3.9,9,133.85,SAR,"Take a globetrotting journey all over the world--and beyond!--with this companion art book to the hit video game for the Nintendo Switch(TM) system!

In October of 2017, Super Mario Odyssey(TM) took the gaming world by storm. Now, discover the art and expertise that went into creating one of Nintendo's best-loved games!

 This full-color volume clocks in at over 350 pages and features concept art, preliminary sketches, and notes from the development team, plus insight into some early ideas that didn't make it into the game itself! Explore the world of Super Mario Odyssey from every angle, including screen shots, marketing material, and more, to fully appreciate this captivating adventure",Dark Horse Comics,368,"Games &amp, Activities , Video &amp, Electronic",9.78151E+12,English,"Nov 5, 2019"
3,Getting Away Is Deadly: An Ellie Avery Mystery,Sara Rosett,4,10,26.15,SAR,"With swollen feet and swelling belly, pregnant Ellie bravely joins the nation's tourists in seeing the sights in Washington, D.C. But a fatal incident at the Metro station convinces Ellie that something is rotten in the capital city. Should she do the safe thing and pack her bags? Not likely when too many people are telling lies, hiding secrets, and acting suspiciously. Luckily, Ellie Avery is just the right woman to clean up the most mysterious cases of murder--even if she has to brave the most dangerous byways in the corridors of power . . .




Don't miss Ellie Avery's top-notch tips for great vacations!



Praise for Sara Rosett and her Mom Zone Mysteries. . .



""Crackles with intrigue, keeps you turning pages.""
--Alesia Holliday



""Sharp writing, tight plotting, a fascinating peek into the world of military wives. Jump in!""
--Cynthia Baxter



""The stunning conclusion should delight readers.""
--Romantic Times",Kensington Publishing Corp.,320,none,9.78162E+12,English,"Mar 1, 2009"
4,"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,4.5,577,28.54,SAR,"The stunning debut fantasy novel from author Peter V. Brett.   The Painted Man, book one of the Demon Cycle, is a captivating and thrilling fantasy adventure, pulling the reader into a world of demons, darkness and heroes.  AS DARKNESS FALLS, THE DEMONS RISE For hundreds of years these creatures have terrorized the night, slowly culling the human population. It was not always this way. Men and women did not always cower behind protective magical wards and hope to see the dawn. Once, they battled the demons on equal terms, but those days, and skills, are gone. Arlen Bales lives with his parents on their isolated farmstead until a demon attack shatters their world. He learns a savage lesson that day: that people, as well as magic, can let you down. Rejecting the fear that kills as efficiently as the creatures, Arlen risks another path in order to offer humanity a last, fleeting chance of survival.",HarperCollins UK,544,"Fiction , Fantasy , Dark Fantasy",9.78001E+12,English,"Jan 8, 2009"
5,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,832,29.29,SAR,"HBO’s hit series A GAME OF THRONES is based on George R. R. Martin’s internationally bestselling series A SONG OF ICE AND FIRE, the greatest fantasy epic of the modern age. A FEAST FOR CROWS is the fourth volume in the series. The Lannisters are in power on the Iron Throne. The war in the Seven Kingdoms has burned itself out, but in its bitter aftermath new conflicts spark to life. The Martells of Dorne and the Starks of Winterfell seek vengeance for their dead. Euron Crow’s Eye, as black a pirate as ever raised a sail, returns from the smoking ruins of Valyria to claim the Iron Isles. From the icy north, where Others threaten the Wall, apprentice Maester Samwell Tarly brings a mysterious babe in arms to the Citadel. As plots, intrigue and battle threaten to engulf Westeros, victory will go to the men and women possessed of the coldest steel and the coldest hearts.",HarperCollins UK,864,none,9.78001E+12,English,"Feb 24, 2011"
6,God of War: The Official Novelization,J.M. Barlog,4.5,94,15.82,SAR,"The novelization of the highly anticipated God of War 4 game.
His vengeance against the Gods of Olympus years behind him, Kratos now lives as a man in the realm of Norse gods and monsters. It is in this harsh, unforgiving world that he must fight to survive... and teach his son to do the same. This startling reimagining of God of War deconstructs the core elements that defined the series—satisfying combat; breathtaking scale; and a powerful narrative—and fuses them anew.",Titan Books,400,"Fiction , Media Tie-In",9.78179E+12,English,"Aug 28, 2018"
7,Edgedancer: From the Stormlight Archive,Brandon Sanderson,4.8,221,36.79,SAR,"From #1 New York Times bestselling author Brandon Sanderson, a special gift edition of Edgedancer, a short novel of the Stormlight Archive (previously published in Arcanum Unbounded).Three years ago, Lift asked a goddess to stop her from growing older--a wish she believed was granted. Now, in Edgedancer, the barely teenage nascent Knight Radiant finds that time stands still for no one. Although the young Azish emperor granted her safe haven from an executioner she knows only as Darkness, court life is suffocating the free-spirited Lift, who can't help heading to Yeddaw when she hears the relentless Darkness is there hunting people like her with budding powers. The downtrodden in Yeddaw have no champion, and Lift knows she must seize this awesome responsibility.
Other Tor books by Brandon Sanderson The Cosmere
 
 The Stormlight Archive
 The Way of Kings
 Words of Radiance
 Edgedancer (Novella)
 Oathbringer
 
 The Mistborn trilogy
 Mistborn: The Final Empire
 The Well of Ascension
 The Hero of Ages
 
 Mistborn: The Wax and Wayne series
 Alloy of Law
 Shadows of Self
 Bands of Mourning Collection
 Arcanum Unbounded Other Cosmere novels
 Elantris
 Warbreaker The Alcatraz vs. the Evil Librarians series
 Alcatraz vs. the Evil Librarians
 The Scrivener's Bones
 The Knights of Crystallia
 The Shattered Lens
 The Dark Talent The Rithmatist series
 The Rithmatist Other books by Brandon Sanderson

 The Reckoners
 Steelheart
 Firefight
 CalamityAt the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Tor Books,226,"Fiction , Fantasy , Epic",9.78125E+12,English,"Oct 17, 2017"
8,"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,4.3,135,50.25,SAR,"NATIONAL BESTSELLERDeveloping video games—hero's journey or fool's errand? The creative and technical logistics that go into building today's hottest games can be more harrowing and complex than the games themselves, often seeming like an endless maze or a bottomless abyss. In Blood, Sweat, and Pixels, Jason Schreier takes readers on a fascinating odyssey behind the scenes of video game development, where the creator may be a team of 600 overworked underdogs or a solitary geek genius. Exploring the artistic challenges, technical impossibilities, marketplace demands, and Donkey Kong-sized monkey wrenches thrown into the works by corporate, Blood, Sweat, and Pixels reveals how bringing any game to completion is more than Sisyphean—it's nothing short of miraculous.Taking some of the most popular, bestselling recent games, Schreier immerses readers in the hellfire of the development process, whether it's RPG studio Bioware's challenge to beat an impossible schedule and overcome countless technical nightmares to build Dragon Age: Inquisition; indie developer Eric Barone's single-handed efforts to grow country-life RPG Stardew Valley from one man's vision into a multi-million-dollar franchise; or Bungie spinning out from their corporate overlords at Microsoft to create Destiny, a brand new universe that they hoped would become as iconic as Star Wars and Lord of the Rings—even as it nearly ripped their studio apart. Documenting the round-the-clock crunches, buggy-eyed burnout, and last-minute saves, Blood, Sweat, and Pixels is a journey through development hell—and ultimately a tribute to the dedicated diehards and unsung heroes who scale mountains of obstacles in their quests to create the best games imaginable.",HarperCollins,304,"Games &amp, Activities , Video &amp, Electronic",9.78006E+12,English,"Sep 5, 2017"
9,Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,4.7,47,41.82,SAR,"A short gift book of festive hospital diaries from the author of million-copy bestseller This is Going to HurtChristmas is coming, the goose is getting fat . . . but 1.4 million NHS staff are heading off to work. In this perfect present for anyone who has ever set foot in a hospital, Adam Kay delves back into his diaries for a hilarious, horrifying and sometimes heartbreaking peek behind the blue curtain at Christmastime.Twas the Nightshift Before Christmas is a love letter to all those who spend their festive season on the front line, removing babies and baubles from the various places they get stuck, at the most wonderful time of the year.'The perfect surgical stocking-filler' The Times",Pan Macmillan,112,"Biography &amp, Autobiography , Medical (incl. Patients)",9.78153E+12,English,"Oct 17, 2019"
